Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1,D2,2009,4/4/2010,Oberhausen,Kaiserslautern,2,1,H
2,D2,2009,11/1/2009,Munich 1860,Kaiserslautern,0,1,A
3,D2,2009,10/4/2009,Frankfurt FSV,Kaiserslautern,1,1,D
4,D2,2009,2/21/2010,Frankfurt FSV,Karlsruhe,2,1,H
5,D2,2009,12/6/2009,Ahlen,Karlsruhe,1,3,A
6,D2,2009,4/3/2010,Union Berlin,Karlsruhe,1,1,D
7,D2,2009,8/14/2009,Paderborn,Karlsruhe,2,0,H
8,D2,2009,3/8/2010,Bielefeld,Karlsruhe,0,1,A
9,D2,2009,9/26/2009,Kaiserslautern,Karlsruhe,2,0,H
10,D2,2009,11/21/2009,Hansa Rostock,Karlsruhe,2,1,H
11,D2,2009,12/19/2009,Greuther Furth,Karlsruhe,1,4,A
12,D2,2009,4/16/2010,Koblenz,Karlsruhe,2,2,D
13,D2,2009,3/21/2010,Oberhausen,Karlsruhe,1,0,H
14,D2,2009,9/14/2009,Cottbus,Karlsruhe,2,4,A
15,D2,2009,5/2/2010,Duisburg,Karlsruhe,0,1,A
16,D2,2009,10/30/2009,Fortuna Dusseldorf,Karlsruhe,1,0,H
17,D2,2009,1/15/2010,Aachen,Karlsruhe,3,1,H
18,D2,2009,10/18/2009,Augsburg,Karlsruhe,1,1,D
19,D2,2009,2/5/2010,St Pauli,Karlsruhe,2,1,H
20,D2,2009,8/24/2009,Munich 1860,Karlsruhe,1,3,A
21,D1,2009,2/6/2010,Bochum,Leverkusen,1,1,D
22,D1,2009,11/22/2009,Bayern Munich,Leverkusen,1,1,D
23,D1,2009,5/8/2010,M'gladbach,Leverkusen,1,1,D
24,D1,2009,8/8/2009,Mainz,Leverkusen,2,2,D
25,D1,2009,10/17/2009,Hamburg,Leverkusen,0,0,D
26,D1,2009,4/17/2010,Stuttgart,Leverkusen,2,1,H
27,D1,2009,3/20/2010,Dortmund,Leverkusen,3,0,H
28,D1,2009,10/31/2009,Schalke 04,Leverkusen,2,2,D
29,D1,2009,8/22/2009,Freiburg,Leverkusen,0,5,A
30,D1,2009,2/21/2010,Werder Bremen,Leverkusen,2,2,D
31,D1,2009,12/11/2009,Hertha,Leverkusen,2,2,D
32,D1,2009,12/5/2009,Hannover,Leverkusen,0,0,D
33,D1,2009,4/3/2010,Ein Frankfurt,Leverkusen,3,2,H
34,D1,2009,9/12/2009,Wolfsburg,Leverkusen,2,3,A
35,D1,2009,1/24/2010,Hoffenheim,Leverkusen,0,3,A
36,D1,2009,9/26/2009,FC Koln,Leverkusen,0,1,A
37,D1,2009,3/7/2010,Nurnberg,Leverkusen,3,2,H
38,D1,2009,11/21/2009,Wolfsburg,Nurnberg,2,3,A
39,D1,2009,12/5/2009,Dortmund,Nurnberg,4,0,H
40,D1,2009,4/17/2010,Freiburg,Nurnberg,2,1,H
41,D1,2009,2/12/2010,M'gladbach,Nurnberg,2,1,H
42,D1,2009,10/3/2009,Leverkusen,Nurnberg,4,0,H
43,D1,2009,1/17/2010,Schalke 04,Nurnberg,1,0,H
44,D1,2009,2/27/2010,Bochum,Nurnberg,0,0,D
45,D1,2009,1/30/2010,Hannover,Nurnberg,1,3,A
46,D1,2009,8/29/2009,Stuttgart,Nurnberg,0,0,D
47,D1,2009,11/7/2009,Mainz,Nurnberg,1,0,H
48,D1,2009,5/1/2010,Hamburg,Nurnberg,4,0,H
49,D1,2009,9/19/2009,Bayern Munich,Nurnberg,2,1,H
50,D1,2009,10/24/2009,Hoffenheim,Nurnberg,3,0,H
51,D1,2009,12/20/2009,FC Koln,Nurnberg,3,0,H
52,D1,2009,8/15/2009,Ein Frankfurt,Nurnberg,1,1,D
53,D1,2009,3/27/2010,Werder Bremen,Nurnberg,4,2,H
54,D1,2009,3/13/2010,Hertha,Nurnberg,1,2,A
55,D1,2009,9/13/2009,FC Koln,Schalke 04,1,2,A
56,D1,2009,11/28/2009,M'gladbach,Schalke 04,1,0,H
57,D1,2009,11/7/2009,Bayern Munich,Schalke 04,1,1,D
58,D1,2009,2/6/2010,Freiburg,Schalke 04,0,0,D
59,D1,2009,8/8/2009,Nurnberg,Schalke 04,1,2,A
60,D1,2009,4/24/2010,Hertha,Schalke 04,0,1,A
61,D1,2009,12/12/2009,Werder Bremen,Schalke 04,0,2,A
62,D1,2009,5/8/2010,Mainz,Schalke 04,0,0,D
63,D1,2009,10/17/2009,Stuttgart,Schalke 04,1,2,A
64,D1,2009,3/21/2010,Hamburg,Schalke 04,2,2,D
65,D1,2009,1/23/2010,Bochum,Schalke 04,2,2,D
66,D1,2009,3/6/2010,Ein Frankfurt,Schalke 04,1,4,A
67,D1,2009,9/26/2009,Dortmund,Schalke 04,0,1,A
68,D1,2009,2/21/2010,Wolfsburg,Schalke 04,2,1,H
69,D1,2009,3/27/2010,Leverkusen,Schalke 04,0,2,A
70,D1,2009,8/21/2009,Hoffenheim,Schalke 04,0,0,D
71,D1,2009,4/10/2010,Hannover,Schalke 04,4,2,H
72,D1,2009,10/24/2009,Hannover,Stuttgart,1,0,H
73,D1,2009,4/10/2010,Hertha,Stuttgart,0,1,A
74,D1,2009,5/8/2010,Hoffenheim,Stuttgart,1,1,D
75,D1,2009,9/12/2009,Hamburg,Stuttgart,3,1,H
76,D1,2009,8/22/2009,Dortmund,Stuttgart,1,1,D
77,D1,2009,3/6/2010,Werder Bremen,Stuttgart,2,2,D
78,D1,2009,3/27/2010,Bayern Munich,Stuttgart,1,2,A
79,D1,2009,3/12/2010,Schalke 04,Stuttgart,2,1,H
80,D1,2009,4/23/2010,Bochum,Stuttgart,0,2,A
81,D1,2009,8/7/2009,Wolfsburg,Stuttgart,2,0,H
82,D1,2009,9/26/2009,Ein Frankfurt,Stuttgart,0,3,A
83,D1,2009,2/6/2010,Nurnberg,Stuttgart,1,2,A
84,D1,2009,2/20/2010,FC Koln,Stuttgart,1,5,A
85,D1,2009,11/7/2009,M'gladbach,Stuttgart,0,0,D
86,D1,2009,1/22/2010,Freiburg,Stuttgart,0,1,A
87,D1,2009,11/29/2009,Leverkusen,Stuttgart,4,0,H
88,D1,2009,12/13/2009,Mainz,Stuttgart,1,1,D
89,D1,2009,9/20/2009,Leverkusen,Werder Bremen,0,0,D
90,D1,2009,8/30/2009,Hertha,Werder Bremen,2,3,A
91,D1,2009,12/6/2009,FC Koln,Werder Bremen,0,0,D
92,D1,2009,2/27/2010,Mainz,Werder Bremen,1,2,A
93,D1,2009,2/13/2010,Hannover,Werder Bremen,1,5,A
94,D1,2009,3/14/2010,Hoffenheim,Werder Bremen,0,1,A
95,D1,2009,11/21/2009,Freiburg,Werder Bremen,0,6,A
96,D1,2009,4/3/2010,Dortmund,Werder Bremen,2,1,H
97,D1,2009,4/17/2010,Wolfsburg,Werder Bremen,2,4,A
98,D1,2009,5/1/2010,Schalke 04,Werder Bremen,0,2,A
99,D1,2009,10/4/2009,Stuttgart,Werder Bremen,0,2,A
100,D1,2009,8/15/2009,Bayern Munich,Werder Bremen,1,1,D
101,D1,2009,1/30/2010,M'gladbach,Werder Bremen,4,3,H
102,D1,2009,12/20/2009,Hamburg,Werder Bremen,2,1,H
103,D1,2009,10/31/2009,Nurnberg,Werder Bremen,2,2,D
104,D1,2009,10/25/2009,Bochum,Werder Bremen,1,4,A
105,D1,2009,1/16/2010,Ein Frankfurt,Werder Bremen,1,0,H
106,D1,2009,11/1/2009,Ein Frankfurt,Bochum,2,1,H
107,D1,2009,4/16/2010,FC Koln,Bochum,2,0,H
108,D1,2009,3/20/2010,Werder Bremen,Bochum,3,2,H
109,D1,2009,8/29/2009,Leverkusen,Bochum,2,1,H
110,D1,2009,1/30/2010,Hertha,Bochum,0,0,D
111,D1,2009,8/16/2009,Schalke 04,Bochum,3,0,H
112,D1,2009,12/5/2009,Stuttgart,Bochum,1,1,D
113,D1,2009,11/22/2009,Hamburg,Bochum,0,1,A
114,D1,2009,9/25/2009,Nurnberg,Bochum,0,1,A
115,D1,2009,10/18/2009,Dortmund,Bochum,2,0,H
116,D1,2009,2/20/2010,Mainz,Bochum,0,0,D
117,D1,2009,3/6/2010,Wolfsburg,Bochum,4,1,H
118,D1,2009,9/12/2009,Hoffenheim,Bochum,3,0,H
119,D1,2009,12/19/2009,Hannover,Bochum,2,3,A
120,D1,2009,5/1/2010,Bayern Munich,Bochum,3,1,H
121,D1,2009,4/3/2010,Freiburg,Bochum,1,1,D
122,D1,2009,1/16/2010,M'gladbach,Bochum,1,2,A
123,D1,2009,11/21/2009,Schalke 04,Hannover,2,0,H
124,D1,2009,2/20/2010,Dortmund,Hannover,4,1,H
125,D1,2009,12/12/2009,M'gladbach,Hannover,5,3,H
126,D1,2009,8/22/2009,Nurnberg,Hannover,0,2,A
127,D1,2009,2/6/2010,Hoffenheim,Hannover,2,1,H
128,D1,2009,4/17/2010,Bayern Munich,Hannover,7,0,H
129,D1,2009,10/17/2009,Ein Frankfurt,Hannover,2,1,H
130,D1,2009,9/13/2009,Werder Bremen,Hannover,0,0,D
131,D1,2009,5/8/2010,Bochum,Hannover,0,3,A
132,D1,2009,4/24/2010,Leverkusen,Hannover,3,0,H
133,D1,2009,3/20/2010,Stuttgart,Hannover,2,0,H
134,D1,2009,10/31/2009,FC Koln,Hannover,0,1,A
135,D1,2009,1/23/2010,Mainz,Hannover,1,0,H
136,D1,2009,4/4/2010,Hamburg,Hannover,0,0,D
137,D1,2009,9/26/2009,Wolfsburg,Hannover,4,2,H
138,D1,2009,8/8/2009,Hertha,Hannover,1,0,H
139,D1,2009,3/6/2010,Freiburg,Hannover,1,2,A
140,D2,2009,8/21/2009,Union Berlin,Hansa Rostock,1,0,H
141,D2,2009,2/5/2010,Oberhausen,Hansa Rostock,2,1,H
142,D2,2009,2/27/2010,Greuther Furth,Hansa Rostock,1,0,H
143,D2,2009,9/20/2009,Augsburg,Hansa Rostock,5,2,H
144,D2,2009,11/9/2009,Aachen,Hansa Rostock,1,0,H
145,D2,2009,4/23/2010,Kaiserslautern,Hansa Rostock,0,1,A
146,D2,2009,3/14/2010,Paderborn,Hansa Rostock,2,2,D
147,D2,2009,2/14/2010,Koblenz,Hansa Rostock,0,0,D
148,D2,2009,3/28/2010,St Pauli,Hansa Rostock,2,0,H
149,D2,2009,11/27/2009,Frankfurt FSV,Hansa Rostock,0,1,A
150,D2,2009,4/11/2010,Karlsruhe,Hansa Rostock,2,1,H
